global_train_loss,global_train_acc,global_val_loss,global_val_acc
0.8393656786693823,0.6546135015677536,1.7398483068429442,0.2732049036777583
0.7761386651484883,0.6850583657587549,1.1027111274348458,0.5621716287215411
0.6890121954264388,0.7234943900872653,1.1216463111536723,0.5866900175131349
0.6305273109255539,0.7540856031128405,0.6014744925415453,0.7653239929947461
0.5814914219429289,0.7776653696498054,0.8125654571736965,0.626970227670753
0.5391001214885539,0.7911287068867816,0.5292460725833572,0.7933450087565674
0.4933189057777111,0.8093351970080466,0.6282944304513013,0.7250437828371279
0.4896654978051857,0.8170341128026897,0.4382617054490826,0.8336252189141856
0.44954363755844434,0.8351600619545918,0.38985830044370606,0.8528896672504378
0.44402160503799004,0.8334472441539796,0.4050968186554683,0.8598949211908932
0.4108503541570693,0.8470428015564202,0.5120473399680049,0.809106830122592
0.3860326909598687,0.8556178459446186,0.36995507455748977,0.8528896672504378
0.38678428296945083,0.8566264213667788,0.3743335765422748,0.87215411558669
0.3671613731924301,0.8651468399380453,0.3791103567112557,0.8651488616462347
0.3364364534421153,0.8772848777907901,0.2807132174797526,0.8931698774080561
0.3409433894118224,0.8750208152317633,0.28922309803461654,0.8949211908931699
0.3511444093583635,0.8724977522571871,0.3219241077657756,0.882661996497373
0.3315527732932672,0.879727626459144,0.3180180753070711,0.8896672504378283
0.301510773324084,0.8893027086245325,0.25481692744637535,0.9141856392294221
0.3195164620331289,0.8852140077821014,0.26912508824034453,0.8984238178633975
0.2847582996667786,0.8965718711042274,0.257714007395579,0.9141856392294221
0.31663717010634,0.8855641267802502,0.2357258351483821,0.9211908931698775
0.27495255059530277,0.8988654754259379,0.30039547652580273,0.8879159369527145
0.26180271108346054,0.9044673038419404,0.23548826726639543,0.9141856392294221
0.2506823032393038,0.9092896377167466,0.22463222743124553,0.9159369527145359
0.25547509056460077,0.9090171130671301,0.1938932902341131,0.9334500875656743
0.2514948650234857,0.9097960787276644,0.2064503319104791,0.9211908931698775
0.23850520177487033,0.9134241245136188,0.20115825241584911,0.9194395796847635
0.253611707262231,0.9075486381322959,0.17283297647214813,0.9387040280210157
0.23022860769757725,0.9194941634241246,0.2184430675519118,0.9194395796847635
0.23728431218481308,0.9154863813229573,0.16440255963447423,0.9439579684763573
0.22311161410558658,0.921544935967663,0.16763444075233674,0.9352014010507881
0.2141379159441137,0.9235663178572778,0.17503907026530566,0.9352014010507881
0.1952289435511018,0.9316974802614183,0.18606924754934429,0.9281961471103327
0.2151826234728801,0.9243579766536966,0.1739844969765735,0.9404553415061296
0.19008879779683105,0.9319455252918288,0.14210257383027552,0.9509632224168126
0.1873850347358636,0.9328275471270446,0.15933480396892896,0.9439579684763573
0.17442581759001582,0.9390106909448075,0.2058970568841894,0.9211908931698775
0.18840885143428127,0.9348836084772015,0.13069562178150784,0.9597197898423818
0.17474254036878203,0.9387714102225078,0.15433658102295653,0.9439579684763573
0.18640784107252378,0.9350194552529183,0.13557028548625638,0.9457092819614711
0.18130532158147322,0.9373540856031128,0.16035217479941305,0.9404553415061296
0.17382112801341335,0.9398443579766538,0.15178622918663426,0.9387040280210157
0.17234439058906076,0.9398054474708172,0.15996828377768788,0.9387040280210157
0.1711061966431858,0.9408171206225682,0.14514356501883258,0.9457092819614711
0.1600061788276954,0.9434630350194553,0.13540265861826895,0.9439579684763573
0.15478621313110702,0.9478791129915758,0.13159439776699514,0.9527145359019265
0.15141577881179197,0.9484588417513505,0.15098216010163001,0.9457092819614711
0.1512433376104946,0.9475875486381323,0.12027976981603954,0.9562171628721541
0.16431190233725185,0.9449805447470817,0.17070360014609823,0.9457092819614711
0.16511017512061155,0.9418501756639343,0.1731357928332848,0.9352014010507881
0.14418137774814183,0.9484435797665369,0.15093018430335717,0.9387040280210157
0.1357323742897316,0.9533227305353027,0.10556131596114297,0.9614711033274956
0.14033662027903585,0.953473461523932,0.12652521271212924,0.9474605954465849
0.14896403870052938,0.9511284046692607,0.13784189391783366,0.9492119089316988
0.1252446092083841,0.9566147859922178,0.12008469480036019,0.957968476357268
0.13154214450238885,0.9551101960636167,0.10182028711364065,0.9527145359019265
0.12263954362407045,0.9595083676476144,0.11331120647503073,0.957968476357268
0.14594409340996953,0.9498443579766537,0.15404244526672697,0.9422066549912435
0.14194034079534984,0.9503648521023006,0.10647246554728773,0.9544658493870403
0.14002555764810606,0.9537522571871104,0.13619003059985132,0.9457092819614711
0.14232445273196231,0.9529278077896566,0.116150057488064,0.9562171628721541
